FileName_img,ImageNumber,Intensity_MeanIntensity_MaskGreen,Intensity_MeanIntensity_MaskRed,Intensity_MedianIntensity_MaskGreen,Intensity_MedianIntensity_MaskRed,Intensity_StdIntensity_MaskGreen,Intensity_StdIntensity_MaskRed,Intensity_TotalArea_MaskGreen,Intensity_TotalArea_MaskRed,Intensity_TotalIntensity_MaskGreen,Intensity_TotalIntensity_MaskRed,Threshold_FinalThreshold_Threshold_red
Image_22-1_crop.tif,1,0.195278994398,0.138392987211,0.188235,0.12549,0.063493,0.0648582,29496,29496,5759.95,4082.04,0.0848192408448
Image_23-1_crop.tif,2,0.256058585933,0.192631027104,0.243137,0.176471,0.0908065,0.0763423,29484,29484,7549.63,5679.53,0.122357537737
Image_24-1_crop.tif,3,0.260213434395,0.0791429116533,0.25098,0.0745098,0.0718753,0.0291108,37847,37847,9848.3,2995.32,0.0545343156555
Image_25-1_crop.tif,4,0.224674730571,0.111770478949,0.215686,0.105882,0.0778709,0.0400488,33665,33665,7563.67,3762.75,0.0749004289391
Image_26-1_crop.tif,5,0.241967178543,0.136697979374,0.235294,0.12549,0.0787936,0.0575624,31313,31313,7576.72,4280.42,0.0861289852764
Image_27-1_crop.tif,6,0.186700665817,0.170946846125,0.180392,0.156863,0.063994,0.0706574,23512,23512,4389.71,4019.3,0.105675552506
Image_28-1_crop.tif,7,0.267725344843,0.173806313484,0.254902,0.160784,0.100929,0.0654333,30938,30938,8282.89,5377.22,0.110431988141
Image_17-1_crop.tif,8,0.412446796975,0.346039335406,0.396078,0.321569,0.161436,0.122007,25793,25793,10638.2,8925.39,0.212890625
Image_18-1_crop.tif,9,0.604152748214,0.369464640446,0.588235,0.341176,0.206512,0.130145,25516,25516,15415.6,9427.26,0.228515625
Image_19-1_crop.tif,10,0.614144840945,0.359529155859,0.607843,0.333333,0.206023,0.12427,28241,28241,17344.1,10153.5,0.224609375
Image_20-1_crop.tif,11,0.512715137518,0.326139497023,0.490196,0.301961,0.187813,0.117908,33841,33841,17350.8,11036.9,0.201171875
Image_21-1_crop.tif,12,0.625902905213,0.419377710764,0.615686,0.384314,0.209702,0.151077,26702,26702,16712.9,11198.2,0.251953125
