avg_green_intensity,avg_red_intensity,number,type
27029.698251463575,22677.68677548172,17,wt
39593.148455870825,24212.862791973665,18,wt
40247.978187741224,23561.742891540667,19,wt
33600.78496498331,21373.55107709583,20,wt
41018.54553965995,27483.918021122012,21,wt
12797.60845538378,9069.583672362354,22,mut
16780.79948446615,12624.074650657984,23,mut
17053.087748038153,5186.630353792903,24,mut
14724.057893955147,7324.877885043814,25,mut
15857.317759397056,8958.50145307061,26,mut
12235.427653963934,11203.00076556652,27,mut
17545.379533260068,11390.396502682785,28,mut
